brand,model,launch_year,km_driven,launch_price,current_price
Hyundai,Creta,2025,47829,1352754,1237994
Mahindra,Thar Roxx,2018,96275,1874250,655987
Mahindra,XUV300,2020,13331,1384128,580213
Hyundai,i20,2020,78448,720196,252068
Mahindra,XUV300,2016,13680,1385972,678899
Hyundai,Venue,2025,90588,1210328,1079922
Hyundai,Venue,2019,58561,1102438,385853
Mahindra,XUV300,2020,98846,1267570,668723
Maruti,Brezza,2015,67329,1034867,362203
Honda,City,2025,80128,1076066,950391
Mahindra,Thar Roxx,2022,76322,1816124,1064434
Mahindra,Thar Roxx,2017,42747,1875025,933815
Honda,Civic,2015,54526,1775123,794471
Honda,Civic,2019,75228,1718846,954026
Mahindra,Thar Roxx,2021,86307,1827870,914108
Tata,Nexon,2019,98777,1291441,800577
Honda,Amaze,2016,38113,903150,316102
Honda,City,2024,58551,1012368,813162
Maruti,Swift,2019,60038,631330,293276
Tata,Nexon,2025,96894,1198770,1074505
Maruti,Brezza,2020,57526,1064754,660394
Honda,Amaze,2019,99430,928829,325090
Hyundai,Venue,2017,68716,1120021,392007
Tata,Punch,2017,104865,962907,337017
Honda,Civic,2025,16557,1785703,1675353
Tata,Harrier,2019,63293,1742619,765397
Honda,City,2016,98410,1051189,367916
Tata,Punch,2019,28009,927964,324787
Mahindra,Scorpio,2021,38115,1638297,1109132
Mahindra,Scorpio,2023,24915,1522081,1136791
Maruti,Brezza,2025,94719,1127192,1030375
Maruti,Brezza,2025,84930,1142704,1077931
Mahindra,Thar Roxx,2021,117835,1945108,1157205
Maruti,Brezza,2016,28137,1033830,361840
Hyundai,Venue,2020,17893,1270154,444553
Hyundai,i20,2020,116479,746023,420589
Tata,Nexon,2015,80883,1221243,427435
Honda,Amaze,2018,30871,875456,306409
Hyundai,i20,2016,61111,713215,249625
Maruti,Baleno,2016,24662,880636,308222
Hyundai,Creta,2017,106862,1323382,463183
Hyundai,i20,2016,82953,849700,297395
Hyundai,Venue,2021,79477,1124294,697917
Tata,Punch,2015,48014,872325,305313
Hyundai,i20,2022,81781,835443,494913
Hyundai,Venue,2024,83780,1253792,1070825
Hyundai,Venue,2020,15967,1156057,404619
Hyundai,Venue,2019,109988,1251947,741453
Honda,Civic,2015,76387,1776758,654231
Hyundai,Creta,2015,69310,1416067,495623
Hyundai,Creta,2017,16711,1406178,492162
Hyundai,i20,2020,19232,771701,270095
Honda,City,2020,29278,1008531,540178
Mahindra,Scorpio,2023,55821,1666951,1171328
Maruti,Brezza,2023,30218,1197814,778391
Tata,Nexon,2023,115703,1232062,936844
Tata,Nexon,2020,54172,1122241,392784
Hyundai,Creta,2017,114430,1304782,456673
Mahindra,Scorpio,2018,57925,1607979,800600
Maruti,Baleno,2016,48834,862045,301715
Honda,Amaze,2018,116602,757312,271240
Maruti,Brezza,2017,15334,1032906,469725
Hyundai,Venue,2022,115433,1206724,676911
Hyundai,Venue,2022,98398,1263593,787700
Honda,Civic,2025,104881,1857396,1684970
Tata,Harrier,2024,103696,1711513,1369119
Mahindra,Thar Roxx,2015,97091,1820703,637246
Maruti,Baleno,2016,106170,864872,302705
Mahindra,Thar Roxx,2024,79414,1809905,1628497
Honda,City,2017,66121,1153327,511365
Tata,Punch,2021,78762,884183,392450
Honda,City,2018,64537,1188582,503118
Tata,Harrier,2015,48543,1770576,619701
Mahindra,Scorpio,2018,115714,1565247,923929
Honda,Amaze,2019,54386,825573,351366
Honda,City,2022,37368,1125295,806482
Maruti,Swift,2022,52446,605939,393787
Mahindra,Scorpio,2022,67395,1558352,1040800
Honda,City,2016,70381,1164445,407555
Honda,Civic,2023,119892,1885538,1390539
Tata,Harrier,2018,64274,1809402,633290
Honda,Amaze,2024,47943,931099,777257
Tata,Punch,2021,38398,991567,554658
Honda,Civic,2015,10646,1839338,643768
Hyundai,i20,2016,102419,774311,271008
Tata,Nexon,2021,18180,1249259,637455
Maruti,Brezza,2016,97899,1083645,379275
Honda,Civic,2023,66359,1730368,1403944
Mahindra,Thar Roxx,2019,109468,1784984,798772
Mahindra,Thar Roxx,2023,49941,1761604,1411483
Hyundai,i20,2018,66907,837017,492969
Hyundai,i20,2016,100017,736653,257828
Tata,Punch,2020,100607,948080,651420
Maruti,Brezza,2017,90546,1176700,411845
Mahindra,Thar Roxx,2018,53297,1789773,696060
Hyundai,Creta,2021,66730,1380657,762424
Honda,Civic,2025,49608,1739806,1617456
Mahindra,Scorpio,2018,76003,1581119,903868
Hyundai,Venue,2023,34444,1255105,926481
Hyundai,i20,2025,59788,740768,699933
Honda,City,2015,61557,1020802,357280
Mahindra,Thar Roxx,2023,34519,1932635,1306591
Mahindra,Thar Roxx,2021,61026,1899572,1365649
Maruti,Baleno,2016,96563,801075,280376
Honda,Amaze,2015,14301,779731,333646
Hyundai,Creta,2020,64057,1359888,616884
Tata,Nexon,2015,61616,1165641,427073
Hyundai,Venue,2021,24527,1157656,690858
Hyundai,Creta,2021,13362,1369031,637016
Honda,Civic,2023,91725,1868160,1497092
Honda,Civic,2020,11549,1761225,992843
Mahindra,XUV300,2023,12462,1255393,1019432
Maruti,Swift,2018,44072,714559,302178
Mahindra,Thar Roxx,2021,46518,1818386,900503
Hyundai,i20,2018,110406,887271,310544
Hyundai,i20,2021,29431,829344,433706
Maruti,Brezza,2016,45031,1138743,398560
Honda,City,2021,10534,1181743,807954
Tata,Punch,2023,34602,833563,685444
Honda,Civic,2016,109372,1739749,608912
Maruti,Brezza,2023,99910,1034019,724900
Maruti,Baleno,2021,39306,777690,537010
Hyundai,Venue,2019,112829,1127037,394462
Maruti,Swift,2023,100214,736569,604882
Mahindra,Thar Roxx,2024,15857,1895248,1532099
Maruti,Swift,2023,32991,677503,571169
Maruti,Baleno,2020,83723,846771,299965
Honda,Amaze,2019,14545,788634,276021
Tata,Harrier,2025,38416,1876578,1738899
Honda,Civic,2024,100746,1752162,1347882
Honda,City,2017,116490,1058783,394748
Maruti,Swift,2020,6674,640584,224204
Mahindra,XUV300,2023,10675,1303232,892411
Maruti,Swift,2018,111901,764115,267440
Maruti,Baleno,2015,60517,877265,307042
Hyundai,Creta,2019,82970,1404352,491523
Honda,City,2018,85467,1047645,371576
Hyundai,Venue,2021,90289,1156505,476589
Mahindra,XUV300,2018,61043,1270487,444670
Tata,Harrier,2022,75259,1703000,1269564
Mahindra,XUV300,2025,46293,1235780,1122363
Hyundai,Creta,2022,56335,1418518,902657
Honda,Amaze,2018,67739,845508,479307
Tata,Punch,2015,22453,991805,347131
Tata,Nexon,2021,81606,1248134,821025
Tata,Nexon,2022,117125,1170196,712513
Hyundai,i20,2020,115583,741430,259500
Tata,Harrier,2024,15042,1802684,1567183
Mahindra,Thar Roxx,2021,86924,1895780,805844
Maruti,Swift,2022,97278,670924,372461
Tata,Nexon,2017,53044,1218193,636056
Mahindra,Thar Roxx,2017,99052,1813018,973493
Maruti,Brezza,2025,28464,1104096,972054
Tata,Nexon,2022,8574,1102897,732338
Maruti,Brezza,2016,51182,1070243,374585
Honda,Civic,2017,48993,1749955,915933
Maruti,Baleno,2015,10122,946046,331116
Mahindra,Scorpio,2022,66339,1607358,1200605
Honda,Civic,2015,31882,1868881,654108
Maruti,Baleno,2018,77271,877099,489196
Mahindra,Scorpio,2021,95752,1690507,1060862
Mahindra,XUV300,2017,80916,1338689,468541
Honda,Civic,2020,83618,1745920,851392
Mahindra,XUV300,2025,23616,1314073,1192925
Tata,Punch,2017,14837,841089,294381
Mahindra,Scorpio,2019,62372,1564414,847555
Maruti,Swift,2025,15722,656656,600315
Honda,Civic,2022,15809,1801777,1415608
Honda,City,2017,97153,1015915,355570
Hyundai,Venue,2023,99145,1252284,820346
Hyundai,i20,2025,68879,851344,797836
Tata,Punch,2024,50099,866839,729610
Tata,Punch,2017,119459,931649,425889
Tata,Nexon,2016,48032,1103959,386385
Mahindra,Scorpio,2025,30044,1620862,1476946
Tata,Punch,2016,17006,940019,329006
Hyundai,i20,2018,77513,882172,308760
Hyundai,Venue,2025,48668,1283363,1211563
Mahindra,Scorpio,2019,17720,1592711,557448
Hyundai,i20,2022,92132,764665,561206
Maruti,Brezza,2021,69830,1034744,725352
Mahindra,Scorpio,2022,88949,1655934,873592
Mahindra,Scorpio,2023,101193,1631025,1346649
Honda,City,2023,29352,1137035,759172
Honda,City,2020,34775,1145956,643215
Honda,Civic,2019,18314,1897422,1127819
Honda,City,2019,95878,1008104,352836
Maruti,Brezza,2019,69176,1054423,622188
Tata,Nexon,2018,26749,1135891,397561
Hyundai,Venue,2023,69946,1209154,862703
Honda,Amaze,2017,95053,918373,321430
Hyundai,Creta,2018,32206,1403139,633588
Hyundai,i20,2021,70579,878235,386415
Maruti,Baleno,2019,112240,849831,297440
Tata,Punch,2020,29133,992461,429028
Honda,Civic,2024,97852,1737448,1372848
Maruti,Swift,2022,10563,658702,451105
Tata,Harrier,2021,28556,1891315,1223956
Mahindra,Scorpio,2022,84022,1503181,792695
Tata,Nexon,2018,106855,1130392,395637
Honda,Civic,2018,36066,1813018,634556
Hyundai,i20,2017,7322,899936,314977
Hyundai,i20,2018,33594,860671,301234
Tata,Harrier,2023,55599,1830176,1447686
Maruti,Brezza,2017,53746,1191765,417117
Mahindra,Scorpio,2017,94252,1654660,653605
Mahindra,Scorpio,2020,98621,1564769,740030
Tata,Harrier,2018,16076,1797575,629151
Maruti,Baleno,2019,119117,773170,395046
Tata,Punch,2023,9047,875382,719251
Maruti,Baleno,2019,112426,920033,508122
Tata,Harrier,2022,41560,1712273,1269494
Maruti,Brezza,2018,27420,1073047,404128
Hyundai,Venue,2022,46744,1287286,846110
Honda,Amaze,2021,103262,807722,481079
Mahindra,XUV300,2021,39205,1336052,711124
Tata,Harrier,2017,113018,1731009,605853
Maruti,Baleno,2019,105749,905073,316775
Maruti,Brezza,2020,34085,1172080,769548
Honda,Civic,2023,90526,1797707,1256318
Maruti,Brezza,2016,85524,1064853,372698
Mahindra,XUV300,2020,74870,1289358,601340
Honda,Amaze,2021,85194,932380,586706
Hyundai,i20,2015,61599,723531,253235
Honda,City,2016,14221,1091191,381916
Mahindra,XUV300,2018,87201,1285565,449947
Maruti,Swift,2017,111588,774854,360544
Hyundai,i20,2015,118570,744373,260530
Tata,Nexon,2021,59856,1121427,810615
Maruti,Baleno,2025,94399,803626,747424
Hyundai,i20,2023,5479,793106,601158
Honda,City,2019,33149,1062936,372027
Honda,Civic,2015,40778,1719294,601752
Mahindra,XUV300,2021,103697,1238915,821924
Hyundai,Creta,2016,113551,1356976,474941
Mahindra,XUV300,2022,44049,1331627,839398
Hyundai,Creta,2015,33493,1476094,516632
Honda,Civic,2020,39330,1708461,608745
Mahindra,XUV300,2018,97691,1311900,494223
Honda,City,2017,117640,1117472,391115
Maruti,Baleno,2018,83035,807148,282501
Mahindra,Thar Roxx,2023,85958,1879973,1463588
Tata,Nexon,2019,81391,1172599,410409
Hyundai,Creta,2018,24572,1407137,529844
Honda,City,2016,19697,1003085,470959
Mahindra,Scorpio,2020,109432,1539916,749657
Tata,Nexon,2024,66961,1157138,915193
Maruti,Brezza,2018,62919,1004619,351616
Tata,Nexon,2023,99983,1166776,844854
Maruti,Swift,2023,110577,677216,500866
Hyundai,Creta,2015,14137,1403132,532607
Hyundai,Venue,2025,71432,1179184,1049181
Mahindra,Thar Roxx,2017,5590,1789320,626262
Tata,Nexon,2020,48566,1246655,493627
Hyundai,i20,2016,108093,760303,266106
Maruti,Swift,2018,31862,697790,244226
Hyundai,Creta,2015,50353,1370536,479687
Honda,City,2016,54423,1102916,488601
Mahindra,XUV300,2022,116035,1381391,826223
Honda,City,2025,59757,1073061,1013712
Maruti,Swift,2018,67868,617847,297057
Hyundai,i20,2024,74233,801889,678243
Tata,Nexon,2015,86114,1280100,448035
Mahindra,Thar Roxx,2018,35714,1762078,616727
Mahindra,Thar Roxx,2022,106884,1809920,1425690
Mahindra,XUV300,2021,112241,1323659,565188
Honda,Civic,2018,39027,1741227,609429
Tata,Harrier,2019,7843,1736221,815586
Hyundai,Venue,2017,77409,1169962,558378
Tata,Punch,2015,45167,984069,344424
Mahindra,Thar Roxx,2017,68583,1813157,634604
Hyundai,Creta,2017,95016,1358985,662940
Maruti,Baleno,2022,27279,798534,579069
Mahindra,Scorpio,2018,49288,1511715,812885
Hyundai,Venue,2018,74275,1158580,405503
Honda,Civic,2016,58983,1860402,823505
Hyundai,Creta,2025,79487,1365614,1243511
Tata,Nexon,2025,62011,1222345,1131837
Honda,Civic,2021,21492,1804996,1251486
Mahindra,Thar Roxx,2019,16743,1796800,652205
Honda,Amaze,2015,100369,861313,301459
Mahindra,XUV300,2020,119485,1248424,618170
Mahindra,XUV300,2017,10488,1329879,465457
Honda,Civic,2016,54625,1874425,701084
Tata,Nexon,2023,99335,1149463,929783
Mahindra,XUV300,2021,111995,1219015,567108
Hyundai,Venue,2019,61548,1128262,671107
Tata,Punch,2025,97241,965228,892845
Maruti,Swift,2015,117726,654410,229043
Mahindra,XUV300,2021,57597,1382572,746477
Hyundai,Creta,2017,34887,1342341,469819
Maruti,Brezza,2020,76338,1070358,572744
Hyundai,i20,2017,43047,895368,313378
Tata,Harrier,2019,50428,1768311,692176
Hyundai,Venue,2020,14517,1114008,389902
Maruti,Swift,2025,87997,614583,580572
Maruti,Brezza,2021,42082,1008636,726819
Tata,Nexon,2019,14300,1219913,426969
Hyundai,i20,2024,7222,744499,591807
Tata,Harrier,2025,84530,1861026,1676390
Tata,Harrier,2016,19078,1855959,649585
Maruti,Brezza,2023,6819,1015799,719911
Tata,Harrier,2015,88130,1843867,645353
Tata,Harrier,2015,106864,1799377,629781
Tata,Harrier,2017,54335,1857800,755431
Tata,Nexon,2015,43415,1277469,490295
Hyundai,Creta,2020,73929,1389421,871973
Tata,Harrier,2016,100140,1867617,653665
Hyundai,i20,2018,60456,876109,306638
Tata,Nexon,2017,92235,1239955,433984
Mahindra,Thar Roxx,2015,115566,1861331,651465
Tata,Harrier,2022,95821,1887871,1025346
Maruti,Swift,2025,68896,620624,578782
Maruti,Brezza,2021,99126,1199718,790239
Maruti,Baleno,2018,111138,843581,295253
Honda,Amaze,2019,88114,847130,368132
Maruti,Swift,2015,43253,695956,243584
Honda,City,2022,8220,1093275,797737
Maruti,Brezza,2018,112292,1174226,410979
Honda,Amaze,2020,17391,753281,475746
Hyundai,Venue,2020,67280,1270806,823915
Honda,Civic,2018,46119,1713035,795639
Honda,City,2019,108403,1015032,368145
Tata,Nexon,2020,81395,1168059,408820
Mahindra,XUV300,2023,37823,1374513,880646
Maruti,Baleno,2021,94504,935905,470493
Tata,Nexon,2017,116349,1105369,596959
Honda,City,2015,70310,1073851,375847
Mahindra,XUV300,2017,117240,1297196,656436
Hyundai,i20,2020,62905,750023,375051
Hyundai,Creta,2021,28314,1432910,705177
Honda,Civic,2019,96092,1890057,757025
Tata,Punch,2024,33652,892033,797721
Honda,Civic,2016,79372,1804264,631492
Tata,Nexon,2024,96353,1297008,1164948
Tata,Harrier,2023,11836,1713853,1253734
Hyundai,Creta,2015,51118,1473236,515632
Hyundai,i20,2025,31222,751369,669212
Hyundai,Venue,2018,14483,1271196,585977
Honda,Civic,2022,89127,1822682,1184280
Maruti,Baleno,2021,29629,944427,491308
Maruti,Brezza,2017,51508,1191212,416924
Tata,Nexon,2020,104466,1296457,498424
Tata,Nexon,2018,90295,1298836,454592
Hyundai,Venue,2020,41819,1241001,796490
Honda,Civic,2020,66347,1849027,647159
Honda,City,2015,73039,1039123,363693
Mahindra,XUV300,2015,112671,1292912,452519
Maruti,Baleno,2022,103553,903562,487054
Maruti,Baleno,2020,76085,880061,614448
Honda,City,2022,87272,1095005,701891
Tata,Harrier,2018,112090,1841960,644686
Mahindra,Thar Roxx,2023,71342,1863197,1192997
Tata,Nexon,2025,61773,1280478,1135193
Maruti,Brezza,2016,64526,1138372,398430
Mahindra,Scorpio,2021,97271,1649659,759980
Hyundai,i20,2021,48719,818955,366011
Honda,Amaze,2023,63609,759375,545789
Honda,Amaze,2015,47203,851938,298178
Hyundai,Creta,2022,6938,1381098,1085670
Honda,Amaze,2022,53087,895271,640111
Honda,City,2022,110357,1062377,704837
Maruti,Swift,2020,8757,658318,268868
Tata,Punch,2023,118504,811524,658608
Mahindra,Thar Roxx,2015,106624,1922185,672764
Hyundai,Venue,2019,27447,1277505,621892
Mahindra,Scorpio,2024,112713,1674063,1461681
Maruti,Brezza,2019,76825,1111130,616901
Honda,City,2018,35704,1056898,369914
Honda,Civic,2018,46022,1815342,972877
Honda,Civic,2024,51204,1725453,1367761
Maruti,Brezza,2020,31437,1083248,680360
Tata,Harrier,2021,60282,1728273,1135383
Honda,Civic,2025,75380,1820025,1628191
Tata,Harrier,2025,12586,1846770,1661413
Maruti,Brezza,2022,66227,1044323,684131
Hyundai,Venue,2017,11540,1297651,454177
Hyundai,Creta,2017,43458,1411222,676461
Mahindra,Thar Roxx,2016,25254,1782525,623883
Maruti,Brezza,2024,95699,1179529,1041670
Maruti,Baleno,2017,38097,771990,297492
Tata,Harrier,2019,97017,1769340,951489
Honda,Civic,2020,79944,1808597,697672
Mahindra,Thar Roxx,2019,17013,1849733,819105
Hyundai,i20,2016,60249,857208,300022
Maruti,Brezza,2024,67850,1166515,981964
Tata,Nexon,2019,83232,1145869,534335
Hyundai,Creta,2017,76677,1490646,716306
Honda,Amaze,2023,84986,878735,577897
Hyundai,Venue,2015,30483,1219760,426916
Tata,Harrier,2017,87393,1799316,629760
Honda,City,2020,53110,1091343,453734
Tata,Nexon,2024,66407,1253343,988589
Honda,City,2018,105408,1130588,395705
Maruti,Brezza,2020,61009,1126099,707366
Mahindra,Thar Roxx,2015,56482,1778625,622518
Tata,Nexon,2015,19834,1283632,449271
Honda,City,2016,16718,1055702,369495
Mahindra,XUV300,2015,23993,1245520,435932
Mahindra,XUV300,2016,78395,1216489,425771
Hyundai,Creta,2015,68249,1395886,488560
Mahindra,Thar Roxx,2020,52137,1824846,997200
Honda,City,2018,42615,1099412,394132
Mahindra,XUV300,2022,78804,1333730,748816
Honda,Amaze,2020,5062,752359,395568
Mahindra,Scorpio,2019,12178,1623024,568058
Mahindra,Scorpio,2025,56451,1585203,1496988
Mahindra,Thar Roxx,2024,114189,1895972,1464288
Tata,Harrier,2022,93151,1843707,993408
Maruti,Brezza,2024,99862,1191964,1015933
Maruti,Baleno,2024,26901,763047,650542
Honda,City,2018,105940,1083896,379363
Hyundai,i20,2022,11664,733746,479027
Honda,City,2015,74380,1079842,377944
Mahindra,XUV300,2022,70563,1368331,1000992
Maruti,Swift,2022,31472,766654,480468
Hyundai,i20,2020,79162,886875,310406
Maruti,Swift,2025,105505,681983,641462
Maruti,Swift,2025,114916,730377,693118
Tata,Punch,2021,35985,825715,539048
Mahindra,Scorpio,2015,71991,1681529,588535
Tata,Nexon,2024,46801,1297106,1007020
Maruti,Swift,2020,63901,618899,379346
Hyundai,Venue,2024,75069,1171189,980631
Maruti,Brezza,2019,51681,1149165,576630
Tata,Nexon,2021,66589,1158381,634144
Mahindra,Scorpio,2017,11320,1672900,814158
Hyundai,Venue,2024,77836,1241468,984417
Honda,City,2020,92775,1096621,430679
Mahindra,Scorpio,2021,59549,1556415,964656
Tata,Punch,2020,28232,835976,433247
Hyundai,i20,2021,26775,768994,323089
Tata,Punch,2015,91313,850157,297554
Mahindra,Thar Roxx,2025,107007,1818288,1710211
Mahindra,Scorpio,2015,48329,1518092,531332
Tata,Punch,2025,89057,910832,832715
Hyundai,Venue,2020,99333,1144296,755570
Maruti,Baleno,2018,83760,842252,294788
Honda,Amaze,2016,37595,817811,286233
Tata,Harrier,2017,53680,1885399,953653
Honda,Civic,2025,72313,1889830,1703499
Mahindra,Scorpio,2015,104531,1651872,578155
Hyundai,Creta,2021,30648,1325296,901964
Mahindra,XUV300,2022,84707,1202807,910917
Tata,Nexon,2022,70426,1240429,912236
Maruti,Brezza,2018,57344,1184088,414430
Hyundai,i20,2023,52122,783280,659224
Mahindra,Scorpio,2015,93507,1645767,576018
Honda,Amaze,2022,33307,809831,540027
Tata,Nexon,2021,7979,1181301,598892
Tata,Punch,2019,38304,854043,373762
Maruti,Baleno,2023,111046,812084,635115
Mahindra,Thar Roxx,2015,66166,1819638,636873
Maruti,Brezza,2017,18397,1000693,350242
Tata,Punch,2015,61481,958761,335566
Maruti,Brezza,2015,8711,1154156,403954
Hyundai,Venue,2018,97802,1197728,419204
Mahindra,XUV300,2024,65319,1388637,1220896
Hyundai,Venue,2019,38791,1102700,385945
Hyundai,i20,2021,33032,846113,481626
Honda,Amaze,2022,46883,919541,505871
Mahindra,Scorpio,2021,39171,1547295,998663
Mahindra,XUV300,2024,116933,1291766,1013271
Mahindra,Scorpio,2025,34330,1521441,1381106
Honda,Amaze,2025,61149,852035,752609
Maruti,Baleno,2016,73191,809726,283404
Tata,Nexon,2022,46287,1232173,747298
